External_ID,Label
20692.jpg,yes
20605.jpg,no
20600.jpg,yes
20594.jpg,yes
20588.jpg,no
20410.jpg,yes
20408.jpg,yes
20406.jpg,yes
20397.jpg,no
20377.jpg,yes
20372.jpg,no
20244.jpg,yes
20152.jpg,yes
20149.jpg,yes
20148.jpg,yes
20141.jpg,yes
20080.jpg,no
20051.jpg,yes
20034.jpg,yes
20004.jpg,yes
20001.jpg,yes
19967.jpg,yes
19925.jpg,no
19778.jpg,no
19747.jpg,yes
19746.jpg,yes
19645.jpg,yes
19554.jpg,yes
19553.jpg,yes
19552.jpg,yes
19538.jpg,no
19448.jpg,yes
19447.jpg,yes
19322.jpg,yes
19321.jpg,yes
19302.jpg,no
19299.jpg,no
19291.jpg,yes
19289.jpg,yes
19285.jpg,no
19136.jpg,yes
19135.jpg,no
19094.jpg,no
19088.jpg,no
19082.jpg,no
19047.jpg,no
18954.jpg,yes
18939.jpg,yes
18938.jpg,yes
18935.jpg,yes
18897.jpg,no
18895.jpg,no
18885.jpg,no
18854.jpg,no
18846.jpg,yes
18815.jpg,no
18812.jpg,no
18811.jpg,no
18809.jpg,yes
18769.jpg,no
18721.jpg,yes
18687.jpg,yes
18630.jpg,no
18516.jpg,no
18498.jpg,no
18489.jpg,no
18488.jpg,yes
18454.jpg,no
18411.jpg,yes
18410.jpg,yes
18362.jpg,yes
18359.jpg,no
18340.jpg,no
18103.jpg,yes
17921.jpg,no
17920.jpg,no
17880.jpg,yes
17813.jpg,yes
17812.jpg,yes
17798.jpg,yes
17796.jpg,yes
17794.jpg,yes
17791.jpg,yes
17689.jpg,yes
17617.jpg,yes
17550.jpg,no
17549.jpg,yes
17532.jpg,yes
17531.jpg,yes
17530.jpg,yes
17529.jpg,yes
17528.jpg,yes
17526.jpg,yes
17506.jpg,no
17396.jpg,no
17391.jpg,yes
17246.jpg,yes
17245.jpg,yes
17243.jpg,yes
17051.jpg,yes
17049.jpg,yes
17046.jpg,yes
17043.jpg,yes
16936.jpg,no
16867.jpg,no
16861.jpg,no
16811.jpg,yes
16685.jpg,yes
16645.jpg,yes
16644.jpg,yes
16639.jpg,yes
16636.jpg,yes
16635.jpg,yes
16528.jpg,yes
16392.jpg,no
16380.jpg,yes
16332.jpg,yes
16331.jpg,yes
16328.jpg,yes
16184.jpg,yes
16180.jpg,yes
16174.jpg,no
16120.jpg,no
16048.jpg,yes
16043.jpg,yes
16042.jpg,no
16038.jpg,yes
16018.jpg,yes
16015.jpg,yes
15843.jpg,no
15839.jpg,yes
15816.jpg,no
15794.jpg,yes
15756.jpg,yes
15755.jpg,yes
15754.jpg,yes
15730.jpg,no
15698.jpg,no
15631.jpg,yes
15552.jpg,yes
15545.jpg,yes
15500.jpg,no
15419.jpg,yes
15418.jpg,yes
15370.jpg,yes
15305.jpg,no
15166.jpg,yes
15163.jpg,yes
15057.jpg,yes
15035.jpg,yes
15034.jpg,yes
15027.jpg,yes
15007.jpg,no
14948.jpg,no
14843.jpg,no
14786.jpg,yes
14754.jpg,yes
14717.jpg,yes
14672.jpg,yes
14664.jpg,no
14663.jpg,yes
14522.jpg,no
14503.jpg,yes
14424.jpg,yes
14423.jpg,yes
14399.jpg,yes
14347.jpg,yes
14345.jpg,yes
14227.jpg,yes
14226.jpg,no
14181.jpg,yes
14158.jpg,yes
14054.jpg,yes
13866.jpg,no
13841.jpg,yes
13840.jpg,yes
13835.jpg,yes
13673.jpg,yes
13671.jpg,yes
13659.jpg,yes
13658.jpg,no
13651.jpg,no
13616.jpg,no
13613.jpg,no
13588.jpg,no
13575.jpg,yes
13573.jpg,yes
13554.jpg,yes
13533.jpg,yes
13506.jpg,yes
13465.jpg,no
13464.jpg,yes
13435.jpg,no
13385.jpg,no
13379.jpg,no
13300.jpg,yes
13188.jpg,yes
13187.jpg,no
13184.jpg,no
13183.jpg,no
13150.jpg,yes
13148.jpg,yes
13142.jpg,yes
12979.jpg,yes
12905.jpg,yes
12904.jpg,yes
12903.jpg,yes
12902.jpg,yes
12901.jpg,yes
12786.jpg,yes
12785.jpg,yes
12668.jpg,yes
12660.jpg,no
12659.jpg,no
12586.jpg,yes
12577.jpg,no
12515.jpg,yes
12483.jpg,yes
12381.jpg,yes
12377.jpg,yes
12365.jpg,no
12326.jpg,no
12312.jpg,no
12223.jpg,yes
12220.jpg,yes
12164.jpg,no
12119.jpg,yes
12117.jpg,yes
12114.jpg,yes
12111.jpg,no
12109.jpg,yes
12108.jpg,yes
12105.jpg,yes
12104.jpg,yes
